,n,p,q,alpha1,alpha2,beta1,beta2,p0,p1,q0,q1,weight
3205,9157,4369184489385148444823708065831560694024870991979319077329918561316540420345473799210757577202161809398357925,3946105548390855569200492323134004237546073470972924430840971012964169480691792535190152851975556532603135556,1875639651756878746912783113033235098753019551245573807384382548542376883123845819924172672985222934941635683,43391826685170772852817618127027559010849511447868173135062171868517187648478068934000088209296057347457970,794677913912217534026501858378382715724697952656257722795528615600023774594227354457277615465047994261345262580,1875639651756878746912783113033235098753019551245573807384382548542376883123845819924172672985222934941635683,9157,21843568282377430126317148590705719882453530103830705,1,1986480694190319980316977253297723121096047182364330834,794677913912217534026501858378382715724697952656257722795528615600023774594227354457277615465047994261345262580
3206,9158,691328372634765453126050,16020378061824051186769,297662115755089252803140,10213684048493587392129,46768459258052136668558691,74415528938772313200785,2,587932127305,1,126571632137,46768459258052136668558691
3207,9159,23873877264,23788435225,17004056179,2098212940,541338938520,239493749,129,13604,1,154235,541338938520
3208,9165,12032,12005,5031,784,368480,129,47,16,5,49,368480
3209,9166,21393365688738620216436451732874485371754632,7075540911399665111462619486993612547877089,34798808504108755615299627829283657057980728,298228391927258191226518711913085997438579,1366780720202624290391135256697673126261007557,8699702126027188903824906957320914264495182,2,3270578365422438568146,1,2659988893097049213967,1366780720202624290391135256697673126261007557
3210,9167,14948501297188838976,14539595810573689249,332466934204400200345,14742630933281962968,29485261866563925936,36267801265888535,1,3866329176,1,3813082193,332466934204400200345
3211,9170,126,5,420,11,1441,3,14,3,5,1,1441
3212,9173,40645792325,678185764,1005698549860,40640134077,40640134077,54818410,9173,2105,1,26042,1005698549860
3213,9174,150,139,187,5,8340,17,6,5,139,1,8340
3214,9181,40144371590153495233470123416945499489180345586239283548724068773791391594868659589783528836916347941668242840773099258943312920578389303982153916126705861,2332844611115960221476476182244523914865851350085263788105444218259824791333711527281017344629198888142218990664446969469349284158846094136645731913916100,1854514473952681274337963389335462473298430635668121137583390120385595562554327528825882243989300541759942482587791281165167468181298149794171076859737809020,40076531865777885593835158562723603360834851481013755254104557200653297997248211416985002941583551670833683128172805035398091834398241795854538104948099139,40076531865777885593835158562723603360834851481013755254104557200653297997248211416985002941583551670833683128172805035398091834398241795854538104948099139,100997411717279232890641726899872697598215370638716977321827149568979172342573114520525119485312087014483306970253310160394699280105552216216701713306710,9181,2091064062903758532080141314461793329847789188768628914326576525604016390909,1,48299530133490535038920184495246086371988097358664459768045450148543210626190,1854514473952681274337963389335462473298430635668121137583390120385595562554327528825882243989300541759942482587791281165167468181298149794171076859737809020
3215,9182,40690210655896031657449026781102826276107609640093738425643360525996191368345453020356679396663990447228129419135093461467508515991027311243816791055216874205467387042733755319797462986939978350426019454632298692723595198976523845757273722731688107933051997828657155200,16366311757404345695570274182004404991723902022119812427727357386940302391052697987174479499671711425089039806736735206396063435318311208063736952018474548024657094462799819190198970884199831713221081010985592290168800406622487514974809158885983755113614266187298512641,72990337610883856813436860969361940041804560447290121626382858775567319963716782262124913444691153923589094073179975060913073649045707809766667855431897071956801851662361537442997645893611115945587857971217773118746388142876690816863553568732812796611175006272998727840,549813750900912455654706464819968178774800027039652407677501450385549350387027462793489802344387672468762944206507333389090307674928384929738037893680467398292927845344497677161577111771589537677591063537545298587895619917547249329197224688225158538921516974098593447,2524194930386089083910757379988473908755106924139044203647409158720057067626843081684911682563083804304090676852075167589313602535596215212427331969887025825562831737976588835848800520143367567477820572700870465817028791041459421670344458543641702852188684428086642515177,18247584402720964203359215242340485010451140111822530406595714693891829990929195565531228361172788480897273518294993765228268412261426952441666963857974267989200462915590384360749411473402778986396964492804443279686597035719172704215888392183203199152793751568249681960,2,142636269328484667251154531991613221674227100160651485584817544254516225759462329794002239572408108016189101460152647116272472173900760,1,127930886643548068921433707453171299460681622689930960049073408520785104808670504279066472900621895457028531194688333220879665046687871,2524194930386089083910757379988473908755106924139044203647409158720057067626843081684911682563083804304090676852075167589313602535596215212427331969887025825562831737976588835848800520143367567477820572700870465817028791041459421670344458543641702852188684428086642515177
3216,9183,407690849483883797840074604101,4332540816240953506933862700,8054880490274871987180922314420,407667827824279506418558302851,407667827824279506418558302851,438575655574151801545296870,3061,11540744257129,3,38002371927030,8054880490274871987180922314420
3217,9190,5809061301458083240,1731405770393287041,20057758855777345560,182913868854471749,168097845477259537331,1002887942788867278,10,762171982,1,1315828929,168097845477259537331
3218,9191,47554816,23726641,3951073035,33590416,67180832,429885,1,6896,1,4871,3951073035
3219,9197,21040828447226079022731753269341534325,11540174300051680110437725583711742724,17593772729861691796730642841147482643,162485461648719275848040131377983270,2988757581566542359948850176566624268380,17593772729861691796730642841147482643,9197,47830874857913485,1,3397083204758411582,2988757581566542359948850176566624268380
3220,9199,193963578165208959819382905823262257407725569600,184581091158066170892315296490268146724647550641,5715942649450512212363180772439986224166009410791,189214187900001642925381640971660662691186915560,378428375800003285850763281943321325382373831120,621365653815687815236784517060548562253072009,1,440412963212039161497640,1,429629015731091154723129,5715942649450512212363180772439986224166009410791
3221,9205,213019346929638045635847773361,206246254096026497476398126080,2286467455745070993188852760919,93738404460732902180907070176,937384044607329021809070701760,1241970372485101028348100359,1,461540189939769,5,203099115751904,2286467455745070993188852760919
3222,9206,2428905602,1629656161,122193396807,1406819281,5627277124,26546469,2,34849,1,40369,122193396807
3223,9213,805529811312805473986002095325,425950756482499719273716669316,683698932254270975730405377387,6102671178834350609736808770,112447819141201744335010438396020,683698932254270975730405377387,37,147550249004965,249,41359951745178,112447819141201744335010438396020
3224,9214,3265249,3130592,3826377,137332,148867888,225081,1,1807,542,76,148867888
3225,9215,177742224,177235969,1286865535,177488916,354977832,139649,1,13332,1,13313,1286865535
3226,9221,548149844531502573786265070906428002019487002222271144311427984136639069946002041621014989774081073354884631239959498220453973575976496186831950447758835145459444765254382776803127467051094368883490905317134762302049279105336230211001021106137841812704612878901673918725,3110731906159779066651647107119900835054867146953405163213552943483269768997602519189948514294675042024435152542500935577680377477986922997686953537292008015494629570165731673821705098411880474139523482041053793397557227701087457554102147892756467322962165389945405444,7930488618046102578694516700158411149542536833445526486224781057425703506857734331904240316593680474146757273947091758843611200956323607162293641643188617541457800452972464786704006011107577868623672465109645359431264073211802328398788067230534068684127123925488588638740,548141017811035960099732802333515558387866335574106126487771181468323039550508041701241992640125923839706775571206088560549268834183547746481056235485450253146594330985522841617452122035563726770162965204649383646318467251120051061468387734808005159321405197881004632317,548141017811035960099732802333515558387866335574106126487771181468323039550508041701241992640125923839706775571206088560549268834183547746481056235485450253146594330985522841617452122035563726770162965204649383646318467251120051061468387734808005159321405197881004632317,430023241407987342950575680520464762473838891304930402680011986629742083660000777133946443801847981463331378047234126387789350447691335384572911920788885020141947752574149484150526299268386176587337190386598273475288150591682156403795036722184907747756594942277875970,9221,7710111108797278197702096326890960516073948370780911210367889150011134339711965837259687003633795251433982133495902532318871462829185,1,55773935724133536053017140268779908835237090618029455192543977178287115325527957485612303141304887906337401695640348240959876756520962,7930488618046102578694516700158411149542536833445526486224781057425703506857734331904240316593680474146757273947091758843611200956323607162293641643188617541457800452972464786704006011107577868623672465109645359431264073211802328398788067230534068684127123925488588638740
3227,9222,38425,1176,1291080,38407,38407,70,1537,5,6,14,1291080
3228,9223,48616551532830044425018218906256,44827703783991144481711921511769,1807032589127429072487057513218195,46683705627476123244853742722692,93367411254952246489707485445384,195926768852589078660637266965,1,6972557029729484,1,6695349414630363,1807032589127429072487057513218195
3229,9226,337408,281961,490301,8496,22395456,70043,1318,16,1,531,22395456
3230,9229,1415103281302668389552192463369966129416070580642320900,398219372891986272427627882989637250564027694214863299,4979452561812451743968307898521549163505061698531689020,46880501699313872979606533321006484258541968897469471,39332740925724339429889881456324440292916711904976886169,226338752809656897453104904478252234704775531751440410,1,1189581136914447038069027970,11,190267604105372473255541453,39332740925724339429889881456324440292916711904976886169
3231,9230,889778,328653,5514756,43885,15579175,106053,2,667,13,159,15579175
3232,9231,101519147919524416,99667340497614409,1854478022529035745,100588982909277512,201177965818555024,200896763354895,1,318620696,1,315701347,1854478022529035745
3233,9237,304711268985217007395648931710596349778305241590425867485403643605272406552341166558513316,42385459344247142723590264700255866854684413097136686737290573989181538920656135310591875,393679978205245344329918751223310936599299159517697084259865297026136293753094654503161700,5438021578550563913754906429487759432323518247596902677416262816460586661383266469255167,16743668440357186290451356896392811292124112684350863343764673211882146330399077458836659193,65613329700874224054986458537218489433216526586282847376644216171022715625515775750526950,1,552006584186472369468039702888372835234101146,3,118863309932385699604410006539304998624208575,16743668440357186290451356896392811292124112684350863343764673211882146330399077458836659193
3234,9238,1190219863283117800,1037785326469335081,3244745461924123897,64381223798640210,38371209383989565160,104669208449165287,298,63198310,1,1018717491,38371209383989565160
3235,9239,612981595730599026547810159686134250006610362133286965571810944589578284676981739631524706531935001221568980208000734083373186245838678342736858976056456241509114986971680082055638310529014228718912094821082111857938407467391331395223900302524800776560619379504400,351080296671688056507626879254387440414363921273312409633344297516370928695537807636655521541638603888441404726159131574442991583831309982566616852529230283258127822156046490137396394305440595026365573928647371990570849640127544678313847594229457455933211155688041,48298513887660873330627084383776565389299770858093030103806052690059170944320560648569308006858277728464979399739485381185940689683054710976933147229168791815501910044984938351086974974015390449144250989194209633803552622746052473812501097685440589537463934806125579,463902748950018035144741884836419181505557317868271606540200926628529144315369754249718073469999498052851287726721489838788951991316967850464047595455984171822828574371314879482879708331461274571772213149053344475143805010725774011378398104230710078814369005552980,927805497900036070289483769672838363011114635736543213080401853257058288630739508499436146939998996105702575453442979677577903982633935700928095190911968343645657148742629758965759416662922549143544426298106688950287610021451548022756796208461420157628738011105960,5227677658584356892588709209197593396395689020250355028012344700731591183496110038810402425247134725453510055172582030651146302595849627771071885185536182683786330776597568822501025541077539825646092757787012624072253774515212953113161716385479011747750182358061,1,782931411894170348178985980244191041589488305595777506126227956179737990309676846506127281148830821838698852796840213121104559363620,1,592520292202459557677593434014729623809887406548758120655137712793600373154161112512927740580555686027870121806487634045687892088429,48298513887660873330627084383776565389299770858093030103806052690059170944320560648569308006858277728464979399739485381185940689683054710976933147229168791815501910044984938351086974974015390449144250989194209633803552622746052473812501097685440589537463934806125579
3236,9246,2504683486,1603741923,15747927833,170609859,47088321084,235043699,46,7379,3,23121,47088321084
3237,9247,4917073644913448601003812629512167311875171825091796020234649199776757354496,3825786073809120659440827944735829267647039573764868787589899950331540393729,297027587837985828289900407353056538806901256286919913701938945916570805896305,4337242427465142836365236832849509778778010323430444277553122060083124116672,8674484854930285672730473665699019557556020646860888555106244120166248233344,32121508363575843872596561842008926009181491974361405180268081098363880815,1,70121848556020316890715856734552163136,1,61852939087881027381073621830506854527,297027587837985828289900407353056538806901256286919913701938945916570805896305
3238,9253,1500291542107569743577856,287168368579369345877769,5722198604127152540416992,66727695123715751785675,32496387525249571119623725,150584173792819803695184,19,281003047568,1,535880927613,32496387525249571119623725
3239,9254,6367801447,6219916578,35078103335,1681988487,47095677636,53068235,7,30161,2,55767,47095677636
3240,9255,2751631936,129709321,1194842768,28570581,264420727155,597421384,1,52456,1,11389,264420727155
3241,9257,36455214408442411210625,36028584541420265743936,5560913010220519633023,376676300783601049400,6973785032707589828591600,5560913010220519633023,9257,1984470725,1,189811971544,6973785032707589828591600
3242,9262,66850499991053485112785248069660427936250,2651120729583119179020647771168566797601,772597189724146203021900836099380576092700,20140327946980173429546927495176117419203,221543607416781907725016202446937291611233,458786929764932424597328287469940959675,842,8910381198411975925,1,51489035042260397551,772597189724146203021900836099380576092700
3243,9263,16687619932028049582015118644399023240087695115844808430724,16636588106700406242282633207004273339910192539640886268849,125509413999162408302591441415585524518556826282467862238225,16662084482150319816981856288765772456496128283308512220526,33324168964300639633963712577531544912992256566617024441052,13549542696660089420553971868248464268439687604714224575,1,129180571031514060194942096418,1,128982898504803365433207259207,125509413999162408302591441415585524518556826282467862238225
3244,9269,11519347415472,202641324649,61342357802856,2401578297811,55236300849653,76107143676,403,169068,1,450157,61342357802856
3245,9271,203401,164592,1021051,16236,4123944,13987,1,451,127,36,4123944
3246,9277,4808103784646436372050724325,18613576504910785832967204,57628273021760058257944307220,4808067755211138954477188003,4808067755211138954477188003,3105975693745826143038930,9277,719918175965,1,4314345431802,57628273021760058257944307220
3247,9278,2480966552318624993793030125137506510425235298684213553071525793521425695260496203583248392755131911860202919438706599047046298605732141512891027793228572800,102670841718676882941597298937744638461415423491322799309702383205708602468038052149279406619369000088286002154310199795460442927861334774480191720746030561,1427509507365711485064996508166015721247520276134084366064552705561680122048771398869943639751510724215424882866009308439698220094240810022364441376059642080,36394563989554401516562727403596413563471790060752703360662630647231454982273155830250825102310421139956429246485495091060903579848603542426192837096621681,168834382347542868635334492425283762520945634091831790890113943572506719662765169896533577649618043668257875274446211727431531706917671833315108571291227978159,356877376841427871266249127041503930311880069033521091516138176390420030512192849717485909937877681053856220716502327109924555023560202505591110344014910520,2,1113769848828433897507617004563178109759468806195475422448639041182753477966920,1,320422910726865601484712338946069720960601761180080770091278646131027879570831,168834382347542868635334492425283762520945634091831790890113943572506719662765169896533577649618043668257875274446211727431531706917671833315108571291227978159
3248,9281,39212225,6390784,3050107840,38687937,38687937,164320,9281,65,1,2528,3050107840
3249,9285,4058764054244716,3950289305660929,3609944700982065,160940753293166,199244652576939508,240662980065471,619,2560658,1,62851327,199244652576939508
3250,9286,4097343108583286931336078481128606809956955747094058613858,445067003719332265230901903539634658332977896050369602529,3819520619708413816740833277946812907102843900798505898916,59775832068072284029801618628838418278798667955461939569,277539188292059614750368915293696776068462215317209785418867,954880154927103454185208319486703226775710975199626474729,2,45262253084569745771559331577,1,21096611190409995922447812977,277539188292059614750368915293696776068462215317209785418867
3251,9287,1257137818555282887127570884,520693923390536842360059409,1618127341078162578542929668,11873463961277930847317755,110268859808388143779039990685,809063670539081289271464834,1,35456139363378,1,22818718706153,110268859808388143779039990685
3252,9293,130285498809060572964313385897269675912506996039205868211959650520878900856913245727220421814847056633988647065880408738553925,357401224944305181299202546719348683428154805484927129307218398966061901617785318256754043479478943847706125932731224620484,1315630771126194229718386593754439726918348684258580162179782054953950923574834443389892042122217876079875248787205317719799780,130285008593813786824090555592874675016337575836124421580103179280491373349655788015203722286756927518028599149445682404384963,130285008593813786824090555592874675016337575836124421580103179280491373349655788015203722286756927518028599149445682404384963,70786117030355871608650951993674794303150149804077271181522762022702621520221373258898743254181527820933780737501631212730,9293,3744295116207596795979581296145548983882038442954407863332965,1,18905058184102612840580295812653626007614753111327038225417522,1315630771126194229718386593754439726918348684258580162179782054953950923574834443389892042122217876079875248787205317719799780
3253,9294,53788501495781358146282,51179977581430953207481,28660746043634232661317,942657791722929895873,5840707677515273634829108,9553582014544744220439,3098,4166813053,1,226229921941,5840707677515273634829108
3254,9301,6755208062612400,6743985272176441,3279695392473043,589714795115580,154505276320281960,46192892851733,131,7180980,1,82121771,154505276320281960
3255,9302,16097213885032931842762547676050,15459085534194148342201923914449,306034384092212707168564814420943,11154555264799708345965758336635,44618221059198833383863033346540,65799695569170653014096928493,2,2837006687076445,1,3931804361129143,306034384092212707168564814420943
3256,9303,343,100,980,9,11961,70,7,7,1,10,11961
3257,9309,343665744215532544,272282829013008083,1955820496659734217,29572385620831456,6328490522857931584,22480695363904991,1,586230112,107,50445013,6328490522857931584
3258,9311,16211217431821666451142504665169632378508839354784034031241318740610785027977933142403628314222419075614686314846447445434668850489622121932616063846221243870719405690563834832253642616117819642478548425883768038893313524389308620583978770121913086615107840369287391091933933451138308221638418480948402156464681877470855743533896581752748840000,3505879798618177255447481986691093086766529991706412954968034850465993118512331622259044409749245367512169613408315986398852596854513466567997530562388749346475312832395145235289047803448226817800385075747651340126604379338494133800255658841956375259912011540379534021957276137255557883117499684297205853252008941456968412087187881842397396881,15077742497500138518436487354436971267356346473268027834849117064767970230132773585906743478372475393410978643901832145667352633875303942851430948767785418549959335906743852649512179416537119170556756510436171914368587303576771362409174548534648144652833215101869037343377837311635021506638951002440995786253419343503896644666970923700117340400,164027411343822273499079166345905177343232288367888502577064738877832951897506165140146162673153545553592850070376271862083357345497101590369183102300366268547005967995411663896674207934725359252710310205590115397033454771502678100913189076265285984082831423332180440088233083033389711299722129735412252996741590117771006200414243696879022657,1527259227022329188549926117846723106242835836993409847495049783691502615117679903619900920649732662649503027005273467307858140243923512907927463865518710326441172568005278002541933550080227820001985698324249564461778497377461435797602703489106077797795243382645932077661538236123891601911712749966423487652660945586565838732057023061640579959327,7538871248750069259218243677218485633678173236634013917424558532383985115066386792953371739186237696705489321950916072833676316937651971425715474383892709274979667953371926324756089708268559585278378255218085957184293651788385681204587274267324072326416607550934518671688918655817510753319475501220497893126709671751948322333485461850058670200,1,4026315615028417820164067924499599253719894319264106578967783530666827124228588527886037557490744974135433748697274620193050937906030674300269828071880386579571539889737800,1,1872399476238491489353152274701130161491081921822272845253289003759682688525022355096004558175651469715314324550407289544948217971849154709854683315737239915824838600726359,1527259227022329188549926117846723106242835836993409847495049783691502615117679903619900920649732662649503027005273467307858140243923512907927463865518710326441172568005278002541933550080227820001985698324249564461778497377461435797602703489106077797795243382645932077661538236123891601911712749966423487652660945586565838732057023061640579959327
3259,9318,2764174191226104289765683751250,805158071765297984310916073329,4219570747676604311893465767700,38740581775528794835199355799,180492370492188655137193798667541,1054892686919151077973366441925,2,1175622003712525,1,897306007873177,180492370492188655137193798667541
3260,9319,1147421726431827492998266256451123582768257614647894395791874468806056219757680400,20947343514440869448894626863143291730782314605934799736758567302175511033563481,310067328556236554568277880713113028700722146362242869281492104833578821760591640,11884092673138732882889736130396474446505621270990988947601646659600823015150341,110747859620979851735649450999164745366985884624365026002699745220820069678186027779,155033664278118277284138940356556514350361073181121434640746052416789410880295820,1,33873614014920632513195093116685291717020,1,4576826795328928486771196779988011579941,110747859620979851735649450999164745366985884624365026002699745220820069678186027779
3261,9326,774769539864493448,44308579066752961,524052954695211832,11327353642257429,52819450033846391427,131013238673802958,2,622402418,1,210496031,52819450033846391427
3262,9327,59698165477410469244757614192296774735644376530507710256488249701,18570902104600027424370324487582284224738587123131889838003078700,6431288280108372305339997683139302617712863353777244760054514091860,56736166211594218285906212396153737618769933283591987903827748451,56736166211594218285906212396153737618769933283591987903827748451,344767249925397893499517405550514775260687431852538048678809590,3109,4381977383420646735721805056033,3,78678464026271779238724727634230,6431288280108372305339997683139302617712863353777244760054514091860
3263,9334,21657712155526631,4989372253459778,557084994080371364,5845199610515727,75987594936704451,387942196434799,359,7767103,2,49946833,557084994080371364
3264,9335,350913455647654329107497313456476990360781978439733896722294801534544964,349699946208082816076169558148819034549824537747678011826833958812682081,2817201823965648040132501387386128937457400487159163262546183101315666965,350306175457523406140948430333115984021990562640616903386909105447664078,700612350915046812281896860666231968043981125281233806773818210895328156,301789161646025499746384722805155751200578520316996600165632897837779,1,592379486180652890700254470441029842,1,591354332196934882720522803337367759,2817201823965648040132501387386128937457400487159163262546183101315666965
3265,9339,283,256,693,16,9056,21,283,1,1,16,9056
3266,9341,21293774271172110096667266120196474878559008023590022513265621722467056535698426121841999221417322949298765417247525,12223691017055787383511560168675636555733038347065039873348002149625192401942477512220694099803709339954267703587044,17435773588550092742656605092324650849300887588283510193382498531585869569615880925797866337119869479537939768918883,166928626002157007468367751667892121038033480322769888210687097027560446662723624378081102831202676788437467202110,3118560590972297213524046336659560605232541479389987051552056346668884264553002750631311163092528407761588762269819020,17435773588550092742656605092324650849300887588283510193382498531585869569615880925797866337119869479537939768918883,9341,47745191208119076963138601227526661812640389530497226845,1,3496239553728518097338283494690251256221930243264408055638,3118560590972297213524046336659560605232541479389987051552056346668884264553002750631311163092528407761588762269819020
3267,9343,6199591910621218896210796786977495718598830646930099575903430123648921734566074226035695459857245196040011758941505757221880163041963809489057829208609360541383379290455547743906167838283477157907911533495194163016114178333899878071178426088040459802244895266457696898852375766886728371877426857957566499307775782658456322579569902897951760939353316013098444956429062782976,1232901009526080114922472699335009816555929195209163790349666166734829662178126555516927522180933508288991369565299364723660311216994098089370182082788932291294392896390123748250856413190647774187609720354308624277142890113166635883613806625436534221215304997052179372325996978000063486192285674309929647396152707307453437501115291016614201712312326173892863813082801405249,5529369991329797282499487926119602519019943747005337080504625426883442892537841079269775533450904158436114316345958527648409555994585746446729675759628196901578862141142666368552462053643168264163885376627268248498374209733790719227009734574532694758332764366516730122783827346347156678447783554025346855002923010200029097031250121839558847079710145129411747971270747320064,62857578159455839336838244189119266474258271194142298337344022551262853112963803288020664865900870693429745320071535660244773557049603356282204190444016811773544619294161689404881113128889071327076418563049440419006286626496364232582552160508774037383161337400476379649685617364975610474497943133844403639545340571622024425991700244151343447159523396981838742786376988545,587278352743795906924079715458941306668995027766871493365805202696448836634420814119977071842111834888714110525428357673666919343514444157744633751318449072400227378065352664109804239963210593408874978634570921834775735951355531025018784835633475831270876375332650815067012723040967128663234282699508263204272116960664574212040455381106001826811427098001319373853120203975935,2764684995664898641249743963059801259509971873502668540252312713441721446268920539634887766725452079218057158172979263824204777997292873223364837879814098450789431070571333184276231026821584132081942688313634124249187104866895359613504867287266347379166382183258365061391913673173578339223891777012673427501461505100014548515625060919779423539855072564705873985635373660032,1,2489897971930018440170427065246293477914865353761220472008109285377623110887379091424419149202506611934992659862356342919149881020227156371719924397463957495328587037250528427304973826176,1,1110360756477857566993355106023848411881695928938255486136193433831479846202552694832774296657434913250729944401770785046200469871151384480855388251069720090051761883354687522153133011807,587278352743795906924079715458941306668995027766871493365805202696448836634420814119977071842111834888714110525428357673666919343514444157744633751318449072400227378065352664109804239963210593408874978634570921834775735951355531025018784835633475831270876375332650815067012723040967128663234282699508263204272116960664574212040455381106001826811427098001319373853120203975935
3268,9345,105,16,840,11,979,4,105,1,1,4,979
3269,9347,748800,368449,17479609,145680,3787680,24311,13,240,1,607,17479609
3270,9349,17236247881269476269843501080063945923184065380250979120673828412303146296518436785960827761281623311435270342580458629221,17000026520862072668013448495171132614757804408239888863718006110675947740134198260147537636525716296804772755814294036900,2843824768608762731844059111171438737486211191087350044826253281275873960256922815717369951793905961290250750306615424221,177036813941051002599604745635223286434877361281314595996186211654650675464504891756240239282039244440592252069004465990,3310234347069771646607409533887405009759336901238020315936689785518658329835312466058179994095569792550193929186245505081020,2843824768608762731844059111171438737486211191087350044826253281275873960256922815717369951793905961290250750306615424221,9349,42937700831151517360637337050947452786620382733374925674673,1,4123108841743335868981599397106056544923749755080133008014630,3310234347069771646607409533887405009759336901238020315936689785518658329835312466058179994095569792550193929186245505081020
3271,9354,1922,1559,1947,31,193316,649,2,31,1559,1,193316
3272,9357,90511500894533622828746810127057467166056232490568657335164748689179994653049102405934040748346685101682248439495642177958701435144353200,43316577374488877926215619910374405612548860539266698172285855284586681678814245870202399945437673410973850040951688721531131316862175489,4438425673654277327274651088611224822147692056943481551511582661366648496513203834839620980495204793893159431580593062224453247314306405449,36150834161787493308528501274822705736026671402845534987186999471083834822046948436519997458924665880146990432446846644027091646180966540,216905004970724959851171007648936234416160028417073209923121996826503008932281690619119984753547995280881942594681079864162549877085799240,1423028430155266857093507883491896384144819511684348044729587259174943410231870418351914389386086820741634957223659205586551217478136071,3,173696575378381810732526366785855593615222471443470892222394538314380,1,208126349543946207960286044214420089883629699939359021380408136418433,4438425673654277327274651088611224822147692056943481551511582661366648496513203834839620980495204793893159431580593062224453247314306405449
3273,9358,102284169666805205523563590774532823709257796897800,55686168828774705795272073165567272616529341024481,5868781483157049091397893674108539727292933159118891,53365782766566590113545005679543144500393530607970,213463131066266360454180022718172578001574122431880,1254281146218646952639002708721637043661665560829,2,7151369437625398105299330,1,7462316585938625653965809,5868781483157049091397893674108539727292933159118891
3274,9365,4829419029876328954499933168433508989070908270982899125,4475693630365935077388412720042178267362952800322668036,1814236669575780239516279511195586409469097590875365677,48042293156151525850692156761238534587346968197678370,899832150814718079183464096137997752821008714342515870100,1814236669575780239516279511195586409469097590875365677,9365,22708766966903098203121105,1,2115583520063893643249860994,899832150814718079183464096137997752821008714342515870100
3275,9366,961,600,29659,310,3720,19,1,31,6,10,29659
3276,9367,484,9,132,5,46835,66,1,22,1,3,46835
3277,9373,70975140306122416,48967558854105609,521424796397694355,6179974181210028,1124755300980225096,5062376664055285,91,27927524,1,221286147,1124755300980225096
3278,9374,218,169,903,13,5668,21,218,1,1,13,5668
3279,9377,39617825,6635776,3140169760,39058143,39058143,167440,9377,65,1,2576,3140169760
3280,9379,160801,160688,64071,17644,2928904,567,1,401,83,44,2928904
3281,9381,2532504976,34709051,4554623944,200821845,31930673355,38598508,1,50324,59,767,31930673355
3282,9382,7922845224565491545926330458881416224909257394551802444369608116726286858100418863942419819337162626429252680106082444962463196186623820346456304992016877340162978714761775202203252691156050,7913941811830299678277848234741873712026882405634106092944915287342483509660891932839553182917038361704212026517412308087779417685987065018600640853460691306773092248192009821582819266363889,25718433242405517441315068857496168039616566812144312996824467667683060687053945426280994828730632573403224891707661292975000447233948611126029699544176769437077771478334990275819874282240133,5599148867968633663325977472941907146830334061638702914927423465224120954929250267411903566509641100249163434492918941521192914531343231322477327358445359596946211441973722704178354103525435,22396595471874534653303909891767628587321336246554811659709693860896483819717001069647614266038564400996653737971675766084771658125372925289909309433781438387784845767894890816713416414101740,5482505487615757288704981636643821794844716864665170112305365096500332698156884550475590455922113104541297141698499529519292357116595312540189660955910630875522867507639094068603682430663,2,62939833271806065159758432881525607978207524144023331506521538366298405162031888058103635513805,1,88960338420165082453593823584093044613159797352393678500024739639746450921121363119310123504167,25718433242405517441315068857496168039616566812144312996824467667683060687053945426280994828730632573403224891707661292975000447233948611126029699544176769437077771478334990275819874282240133
3283,9383,271548217861650683403930195866371703797671655002308004,251946132309010267909521080592103398897492527854455529,9812462223265787579133961443238283156146119022302218405,261563612197200297745679021088987834488902832032143954,523127224394400595491358042177975668977805664064287908,1045770246537971606003832616779098705760004158830035,1,521102886061524978198014502,1,501942359548395026577926227,9812462223265787579133961443238283156146119022302218405
3284,9389,1539156263819525,188392457764,3299991173102260,1539156252289923,1539156252289923,175737095170,9389,404885,1,434042,3299991173102260
3285,9390,978123,2,6852,24725,38694625,571,3,571,2,1,38694625
3286,9391,15011935343379305258792918473453672217841882012345673000900000000,13988053295074988968386420688334834794508868052259327622292372161,528055777270496171015321491281160679339248799944490746181698506167,14490954131643974564228715860615643706998879182077566134621070000,28981908263287949128457431721231287413997758364155132269242140000,56229983736609112023780373898536969368464359487220822721935737,1,122523203285660570664280449970000,1,118271100844944319679344815977631,528055777270496171015321491281160679339248799944490746181698506167
3287,9395,14884,13005,313793,6222,62220,167,1,122,5,51,313793
3288,9397,2091789517612727216259452185736232226050426953125,275381296228838927587597297123750372121305136004,147146799402170573842715970317364960557708978527500,2073583499086017150281935936349408332043207669603,2073583499086017150281935936349408332043207669603,7829456177618951465505798143948332476200328750,9397,14919847280967116085625,1,524767849842993837715998,147146799402170573842715970317364960557708978527500
3289,9398,559896975230797341558027199901471184130371809451944,25792546889716928806325107796491110602207851028281,2067507199544200236963763743183901378712815497978488,49630077827638587630301220944246990359401741974695,6303019884110100629048255059919367775644021230786265,13969643240163515114620025291783117423735239851206,74,2750668162639165173762734,1,5078636321860123979389909,6303019884110100629048255059919367775644021230786265
3290,9399,529477,71148,37633596,524675,524675,2002,3133,13,3,154,37633596
3291,9401,4977,64,26544,1207,20519,24,553,3,1,8,26544
3292,9406,8289747790044527248492362780337174992307473967752403724263165213535779968,1170034360876598345791547212490969163669916150025648683154875834040733601,8808763707741486244197089001146328688018341587636831979468903033325924512,119669736553047463771845005093851571623709079426939836454617770668878929,562806771008982222118987058956383941346303800544898050846067375455737603087,2202190926935371561049272250286582172004585396909207994867225758331481128,2,2035896337003007534083050993992560728,1,1081681265843408395392800619076965551,562806771008982222118987058956383941346303800544898050846067375455737603087
