,n,p,q,alpha1,alpha2,beta1,beta2,p0,p1,q0,q1,weight
1530,4327,396305414977016825125995422273362158627747718381414688516557456,5173149509924500381549267046175963564842841497594336948169,2863666994096052602364329392417343176948218581063502686531016,6024715713236301224399117576287389169888792409715245491854325,26068944891173475397974981752595532938108804756837867243253664275,1431833497048026301182164696208671588474109290531751343265508,1,19907421103121740744115021432884,1,71924609904569523369277158237,26068944891173475397974981752595532938108804756837867243253664275
1531,4333,27535883335087552385947019814768100167803377014502078179941831551232108329044676,17379131985638779830717586685957694691226239789476811674888369443890659584451,34422219321745881486038814539036005969942566189703100303494450793335359609947676,10407583560690759337436067272876729829754767061086418754014802580109598780953535,72853084924835315362052470910137108808283369427604931278103618060767191466674745,27804700582993442234280140984681749571843752980374071327539944098009175775402,1,5247464467253451768335983857162863847026,619,5298692493585679624938801263986644477,72853084924835315362052470910137108808283369427604931278103618060767191466674745
1532,4334,99,98,197,21,924,1,11,3,2,7,924
1533,4341,11613302807198784004133510596,714399049548777134334232947,9977895061134862435259356788,304718066857402374344034209,440927042742661235675817500423,1662982510189143739209892798,1,107765035179314,3,15431559108407,440927042742661235675817500423
1534,4342,2485260469346533400596981847,1142128267810541513372683922,7958442942230619825492814035,92187102032637715831828549,61580984157801994175661470732,612187918633124601960985695,167,3857693510071,2,23896948213219,61580984157801994175661470732
1535,4343,14438545614706077487520636021,11513708137144749340647282700,8712412088543269021613391021,195647551917131601292706870,1699394635952205088828451872820,8712412088543269021613391021,101,11956416569161,43,16363393729670,1699394635952205088828451872820
1536,4349,2871968924504869993878287525,18803235955676094921075364,30650027297911804612213535060,2871907369961513019151406877,2871907369961513019151406877,3523801712797402231801970,4349,812634328285,1,4336269820442,30650027297911804612213535060
1537,4351,16972025853178848309578259717709,13623111967039896718272161969100,10122276517388050976737603766459,230520983452370655562633751130,2005993598002529444706038902333260,10122276517388050976737603766459,229,272238222911261,19,846762004935330,2005993598002529444706038902333260
1538,4357,3565482028046833071842238979700173462070460380531058522046334401284216960936784559110805087681244921989046885612432325,2717346239948900057856238540329067652813380250335536108885018428387841801134684316219203215478737384831682743818188676,2308395872583498752439139409668928390525660723055070925011808494574761476906698149098838472049849640113484496353332157,47156095159096473577797325340374270819326448867766207058992293624350884802967425935515064795063531435622386361981090,410918213216366670756925893016021395919610675433714728312058846642593610173058149602078274624183612930013474758303218260,2308395872583498752439139409668928390525660723055070925011808494574761476906698149098838472049849640113484496353332157,4357,904618251710725306862496262994036802889223205948579746785,1,52128171269946733647963588950056106446852657090558944693474,410918213216366670756925893016021395919610675433714728312058846642593610173058149602078274624183612930013474758303218260
1539,4358,553832811184032752767164077335349832885132760944050,240513585657739726577811924802954017181013396538769,23287727053809370787827235164342696181214214412531859,258073938313012976273006785483650448445751863322835,1032295753252051905092027141934601793783007453291340,10687346054983648824152012466426202928505834975921,2,16640805436997825087683045,1,15508500432270675427019863,23287727053809370787827235164342696181214214412531859
1540,4359,1022823334853258366113933,830996372787954847997292,596332627594367894922235,13963890781568134905498,121737199833711000106131564,596332627594367894922235,1453,26531848369,3,526306746042,121737199833711000106131564
1541,4366,39381851,406802,86958212,6473991,239537667,368467,59,817,2,451,239537667
